Designator,Footprint,Quantity,Value,LCSC Part #
C1,402,1,1uF,C52923
C10,402,1,1uF,C52923
C11,402,1,100nF,C1525
C12,402,1,100nF,C1525
C13,402,1,100nF,C1525
C14,402,1,100nF,C1525
C15,402,1,100nF,C1525
C16,402,1,100nF,C1525
C17,402,1,100nF,C1525
C2,402,1,1uF,C52923
C3,402,1,100nF,C1525
C4,402,1,1uF,C52923
C5,402,1,100nF,C1525
C6,402,1,100nF,C1525
C7,402,1,22pF,C1555
C8,402,1,22pF,C1555
C9,402,1,10uF,C15525
"D1, D2",D_SOD-123,2,Schottky Diode,C8598
D3,805,1,GREEN,C2297
F1,1206,1,500 mA,C70076
J1,TYPE-C_24P_QCHT,1,USB C Connector,C456013
R1,603,1,1M,C25190
R10,402,1,1k,C11702
R11,402,1,1k,C11702
R2,402,1,5.1k,C25744
R3,402,1,5.1k,C25744
R4,402,1,470,C25117
R5,402,1,5.6k,C25908
R6,402,1,10k,C25744
R7,402,1,10k,C25744
R8,603,1,27,C25190
R9,603,1,27,C25190
U1,SOT-23,1,XC6206,C5446
U2,SOT-23-6,1,USBLC6-2SC6,C323793
U3,RP2040-QFN-56,1,RP2040,C2040
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
SW1,Button_Switch_SMD:SW_SPST_SKQG_WithStem,1,Boot,C202424
