Designator,Mid X,Mid Y,Rotation,Layer
C1,52.316468,-55.114807,0.0,top
C10,44.976468,-55.352057,90.0,top
C11,52.282468,-66.3057,315.0,top
C12,48.758218,-57.145825,90.0,top
C13,39.741218,-59.685825,90.0,top
C14,45.865468,-70.973057,270.0,top
C15,38.74,-64.64,180.0,top
C16,51.453468,-58.400057,0.0,top
C17,51.453468,-59.924057,0.0,top
C2,49.296468,-47.069807,180.0,top
C3,36.245,-44.85,0.0,top
C4,47.742218,-57.145825,90.0,top
C5,43.452468,-55.352057,90.0,top
C6,47.389468,-70.973057,270.0,top
C7,39.261468,-74.798825,270.0,top
C8,45.964218,-74.544825,90.0,top
C9,52.316468,-53.914807,180.0,top
D1,52.846468,-50.899807,90.0,top
D2,55.226468,-45.969807,90.0,top
D3,57.353968,-61.989807,180.0,top
F1,50.106468,-43.949807,0.0,top
J1,44.974968,-31.639807,180.0,top
J3,52.594968,-32.308807,0.0,top
J4,37.354968,-32.308807,0.0,top
J5,66.64,-40.16,270.0,top
J6,22.974968,-55.27,0.0,top
J7,34.65,-85.804957,90.0,top
J8,66.974968,-55.27,0.0,top
R1,22.97,-35.75,90.0,top
R10,27.020379,-42.923718,270.0,top
R11,43.833468,-70.973057,90.0,top
R2,41.3,-39.98,0.0,top
R3,46.14,-39.94,270.0,top
R4,54.726468,-61.999807,0.0,top
R5,55.426468,-58.094807,270.0,top
R6,56.966468,-58.094807,90.0,top
R7,50.896468,-70.419807,180.0,top
R8,45.406468,-51.629807,270.0,top
R9,46.936468,-51.629807,270.0,top
SW1,31.510379,-35.258718,270.0,top
U1,49.748968,-49.309807,180.0,top
U2,44.976468,-45.839807,270.0,top
U3,44.976468,-63.384807,0.0,top
U4,30.620379,-46.753718,0.0,top
Y1,42.690468,-74.529057,180.0,top
